Price,Close,High,Low,Open,Volume
Ticker,COIN,COIN,COIN,COIN,COIN
Date,,,,,
2025-07-03,355.79998779296875,357.8699951171875,348.5,350.3500061035156,6704300
2025-07-07,357.1000061035156,364.0,351.0,354.20001220703125,7885300
2025-07-08,354.82000732421875,368.7900085449219,348.0,362.75,9735000
2025-07-09,373.8500061035156,374.0,353.2900085449219,358.6300048828125,13238400
2025-07-10,388.9599914550781,389.1600036621094,369.0,372.4100036621094,17241600
2025-07-11,387.05999755859375,395.5,378.3699951171875,390.19000244140625,16694600
2025-07-14,394.010009765625,398.5,388.5799865722656,392.5,12473500
2025-07-15,388.0199890136719,400.8800048828125,373.0199890136719,391.5299987792969,16889300
2025-07-16,398.20001220703125,405.8800048828125,391.4599914550781,392.79998779296875,14355800
2025-07-17,410.75,415.9599914550781,394.2799987792969,399.70001220703125,16840500
2025-07-18,419.7799987792969,444.6499938964844,406.5,419.82000732421875,28063200
2025-07-21,413.6300048828125,436.3800048828125,413.44000244140625,425.54998779296875,17018100
2025-07-22,404.44000244140625,420.9800109863281,394.3699951171875,419.1000061035156,14554900
2025-07-23,397.80999755859375,400.7200012207031,387.1199951171875,399.989990234375,12433200
2025-07-24,396.70001220703125,405.30999755859375,392.0,404.25,7904600
2025-07-25,391.6600036621094,397.4800109863281,386.3900146484375,391.8999938964844,8643300
2025-07-28,379.489990234375,395.3900146484375,375.260009765625,394.6199951171875,11270400
2025-07-29,371.44000244140625,384.7799987792969,365.739990234375,383.5899963378906,9334700
2025-07-30,377.4800109863281,386.5799865722656,372.7099914550781,382.95001220703125,11100000
2025-07-31,377.760009765625,387.1400146484375,376.8299865722656,382.8900146484375,12371200
2025-08-01,314.69000244140625,337.5799865722656,310.54998779296875,335.1400146484375,31342200
2025-08-04,318.1700134277344,324.0,311.0,319.5400085449219,12106400
2025-08-05,297.989990234375,312.8500061035156,297.20001220703125,307.1099853515625,16863900
2025-08-06,303.5799865722656,304.7699890136719,293.30999755859375,297.54998779296875,15982700
2025-08-07,310.7900085449219,317.94000244140625,306.9800109863281,311.2300109863281,13857200
2025-08-08,310.5400085449219,313.70001220703125,301.2300109863281,311.44000244140625,9253800
2025-08-11,319.6199951171875,333.6600036621094,318.79998779296875,322.1000061035156,14664400
2025-08-12,322.6199951171875,329.8599853515625,314.1600036621094,329.3500061035156,9947800
2025-08-13,327.010009765625,345.3900146484375,321.5299987792969,328.2099914550781,15399800
2025-08-14,324.8900146484375,327.45001220703125,316.79998779296875,320.489990234375,9403600
2025-08-15,317.54998779296875,323.3999938964844,314.55999755859375,322.8500061035156,7881200
2025-08-18,320.7300109863281,324.2900085449219,307.1099853515625,311.4800109863281,8798800
2025-08-19,302.07000732421875,322.5899963378906,301.45001220703125,320.69000244140625,10327700
2025-08-20,304.3900146484375,306.45001220703125,291.4599914550781,304.2699890136719,8570300
2025-08-21,300.2799987792969,305.0,297.79998779296875,301.4200134277344,5743400
2025-08-22,319.8500061035156,322.260009765625,297.19000244140625,300.5899963378906,13029200
2025-08-25,306.0,315.5899963378906,305.1000061035156,312.17999267578125,8473900
2025-08-26,308.4800109863281,309.20001220703125,300.3699951171875,304.0,7745400
2025-08-27,308.9700012207031,312.4100036621094,306.69000244140625,307.2099914550781,5746300
2025-08-28,308.4700012207031,315.95001220703125,306.0,312.55999755859375,6292500
